CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.35020453,0.24980506,0.28485831,0.23571975,0.22646472,0.27203474,-0.16792862,-0.21363656,-0.18079828,-0.21239643,-0.15524548,-0.23520303,19.5666,28442.2934,0.4300584639087019,0.8813061674084641
0.18240269,0.37597133,0.14744397,0.67562121,0.17850686,0.32980279,-0.10622812,-0.12850332,-0.03039954,-0.33133814,0.14559882,0.07598382,8.334,83152.6447,0.1314930935973385,0.5421884958145524
0.40866142,0.29129157,0.30424919,0.43211811,0.12010842,0.66767545,0.00092875,0.00136343,-0.00890495,0.01853814,-0.02223311,0.01692575,1.5858,90037.1182,0.08627310370226896,0.41503600189632905
0.19449681,0.26667559,0.16285065,0.35147348,0.18420753,0.32268864,-0.10101581,-0.1308865,-0.05888552,-0.1543873,-0.09867449,0.15492595,13.5235,31420.7495,0.2956309091798695,1.19318311444548
0.24722996,0.18571736,0.26530751,0.10512773,0.15845183,0.0713728,-0.2482294,-0.18343325,-0.26868412,-0.10178975,-0.16065483,-0.07043832,15.8903,58504.0434,0.3701111149370696,1.0402008627166943
0.21146648,0.34524021,0.2545034,0.38905642,0.23846321,0.4260132,-0.12623331,-0.06623399,-0.22033761,-0.04872867,0.01192051,0.21196247,12.0853,84852.5602,0.21831466044235665,1.0893950813270696
0.15071138,0.19407605,0.12474816,0.28058915,0.10652714,0.16588182,-0.06695842,-0.03686555,-0.15923366,-0.10020779,-0.07996253,-0.08265132,11.1364,41705.7402,0.18843055760224792,0.907695612176085
0.15672957,0.27719429,0.1202806,0.24813913,0.13536952,0.17075226,-0.05467304,0.04553507,-0.01292969,0.0536289,0.00331586,-0.01416487,18.3729,92850.532,0.47594462866137016,1.4300472608304602
0.30923136,0.49642037,0.45997852,0.806842,0.5452291,0.58818359,-0.23924826,0.22389261,0.10498776,0.50707648,0.12287907,0.11164706,14.6004,47051.8821,0.4168052205851251,1.2973529245682058
0.29455783,0.3809272,0.37060029,0.38695487,0.3790971,0.1586625,-0.2609341,-0.17708399,-0.2366642,-0.15121943,-0.22696276,0.01217446,19.8556,73836.3401,0.5574014568470405,1.2151949660871264
0.30062432,0.45933622,0.07163218,0.61679351,0.07847811,0.36770876,-0.15880307,0.17009967,-0.15026063,0.10833343,-0.03259971,-0.0338024,5.9731,94836.84,0.1408967630666028,0.6003064441622744
0.18882763,0.32101244,0.27997942,0.36871229,0.65732236,0.25790588,-0.1372843,-0.2196208,-0.08056597,-0.46216935,-0.00353807,0.07565619,-2.3522,32095.77,0.07626263318767909,-0.3871262125358166
0.18367926,0.32084197,0.13818939,0.33691545,0.11801134,0.27070846,-0.07112477,0.03160247,-0.06852111,0.0125232,-0.01351944,-0.04946047,12.7594,74523.3191,0.23912680981757878,0.9632680385572139
0.14126136,0.26788405,0.17338649,0.26744641,0.07931291,0.15761745,-0.08689606,0.07287854,-0.01593638,-0.01969293,-0.04481292,-0.15576551,14.8665,95552.841,0.2872696032868078,1.1002689914002701
0.19860417,0.28721884,0.1870562,0.3037419,0.21455944,0.26990691,-0.13186677,-0.04515841,-0.06602722,-0.03620594,-0.03945881,-0.04724748,11.0671,35937.212,0.16172192223920523,0.9236160229270157
0.13655151,0.17890746,0.14430939,0.19019251,0.14643595,0.18506894,-0.09047868,0.03943119,0.22598703,0.07596911,0.23740778,0.130452,18.0214,64537.2092,0.5003170689077178,1.6289003525511145
0.31652706,0.43710312,0.25261084,0.5084103,0.21906235,0.3201832,-0.32301984,-0.29214146,-0.27926948,-0.28578235,-0.17300909,-0.20831067,11.7834,44844.9473,0.3028344241580311,0.6940776661917099
0.22583461,0.35835034,0.04341006,0.48598181,0.10657784,0.46858317,-0.03477062,0.01501091,-0.03139656,-0.00016794,0.00055737,-0.03593668,15.0978,70348.808,0.3488607795263261,1.3419935280093953
0.20030948,0.3543952,0.35513251,0.30985629,0.19068225,0.26725523,-0.125455538,-0.114205529,-0.209445565,-0.000174725407,-0.047570847,0.0503840901,8.1451,59164.9726,0.1642359826197112,0.6326674518115024
0.19223693,0.29961481,0.16060221,0.25795085,0.15743777,0.23013411,-0.09831559,0.05359616,-0.06591393,0.02873261,0.005159,-0.06816407,6.4443,43146.2537,0.09295153000425893,0.4984738508517888
0.17515357,0.34254698,0.13463669,0.27861174,0.20928124,0.29315354,-0.08965872,-0.04949608,0.11583209,-0.10973528,-0.00700278,-0.08750028,3.9611,69181.2933,0.03325498691496599,0.30390381204081635
0.20262085,0.40076511,0.26678894,0.68635933,0.19079866,0.55368293,-0.11659542,-0.08787156,-0.05564894,0.24643014,0.09371021,0.33992413,5.5139,79886.5303,0.1521585385659838,0.5938665159599809
0.19484887,0.34818055,0.2876203,0.2710733,0.26542185,0.21739645,-0.14161964,0.00704883,-0.15393833,0.04885553,-0.03330905,0.0613325,14.041,71421.1105,0.29988367495746854,1.1184238102585913
